city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count
Riga,Latvia,LV,2019,56.9496,24.1052,5.528323232861837,1.359862836956529,1168.165283203125,14647
Madrid,Spain,ES,2020,40.4168,-3.7038,25.094002601302737,10.505409889600497,189.70130920410156,10514
Barcelona,Spain,ES,2020,41.3851,2.1734,18.003572698968387,4.917088896293895,262.9671325683594,10661
Paris,France,FR,2020,48.8566,2.3522,31.192651775924077,26.96465962056439,281.4209899902344,12147
Lyon,France,FR,2020,45.764,4.8357,9.428484692693395,3.243731942182285,126.46499633789062,11475
Berlin,Germany,DE,2020,52.52,13.405,8.820657066266717,4.497389373430462,146.38491821289062,13148
Hamburg,Germany,DE,2020,53.5511,9.9937,6.552644369498858,2.448604843746867,185.8454437255859,13453
Munich,Germany,DE,2020,48.1351,11.582,4.618428432249047,1.4083912114356447,131.6461639404297,11985
Rome,Italy,IT,2020,41.9028,12.4964,15.421248327620184,8.510861328627971,168.2137908935547,10755
Milan,Italy,IT,2020,45.4642,9.19,19.581746864495983,15.505734088126392,154.1564178466797,11411
Naples,Italy,IT,2020,40.8518,14.2681,15.402927011762689,6.487554880073385,151.31736755371094,10571
Amsterdam,Netherlands,NL,2020,52.3676,4.9041,11.389503715786423,2.68022791676398,1160.1597900390625,13101
Rotterdam,Netherlands,NL,2020,51.9244,4.4777,53.98985482235769,14.622811217219224,11016.0751953125,12962
Brussels,Belgium,BE,2020,50.8503,4.3517,11.76639426350867,5.482271518788764,200.7439727783203,12665
Vienna,Austria,AT,2020,48.2082,16.3738,6.404672568157803,1.7299170445455263,111.41854858398438,12011
Prague,Czech Republic,CZ,2020,50.0755,14.4378,7.7449022997643135,2.445632839418623,172.61239624023438,12460
Warsaw,Poland,PL,2020,52.2297,21.0122,13.01470531409773,5.455031240622689,180.6712951660156,13043
Budapest,Hungary,HU,2020,47.4979,19.0402,8.655378191618523,3.4649843121818167,129.79544067382812,11847
Copenhagen,Denmark,DK,2020,55.6761,12.5683,4.499896887635482,0.8591755244636791,122.71585845947266,14179
Stockholm,Sweden,SE,2020,59.3293,18.0686,11.93718445246746,5.718632225610144,654.6780395507812,15670
Oslo,Norway,NO,2020,59.9139,10.7522,7.12802913965279,0.6313049119865305,528.7250366210938,15931
Helsinki,Finland,FI,2020,60.1699,24.9384,9.28314923470124,1.5363194598345056,206.5967559814453,16060
Lisbon,Portugal,PT,2020,38.7223,-9.1393,17.72695738975861,6.461997022911963,173.6192169189453,10245
Porto,Portugal,PT,2020,41.1579,-8.6291,9.99844076154261,4.243291328174764,123.7966766357422,10621
Athens,Greece,GR,2020,37.9838,23.7275,19.787410356093083,5.493625338750233,240.13995361328125,10152
Dublin,Ireland,IE,2020,53.3498,-6.2603,7.11559078592508,1.470848273403901,199.00970458984375,13398
Bucharest,Romania,RO,2020,44.4268,26.1025,8.637486816489979,2.4433119406839783,164.22169494628906,11205
Sofia,Bulgaria,BG,2020,42.6977,23.3219,4.961434752822557,1.4202275351595106,135.58358764648438,10885
Zagreb,Croatia,HR,2020,45.815,15.9819,7.237058955391551,2.4478846814262125,137.99423217773438,11476
Tallinn,Estonia,EE,2020,59.437,24.7536,4.751976731112193,0.0965757098858295,197.88803100585935,15717
Riga,Latvia,LV,2020,56.9496,24.1052,4.446358110038387,0.7842844514104375,832.0755615234375,14647
Madrid,Spain,ES,2021,40.4168,-3.7038,26.746641563370357,11.49611404621076,196.9200897216797,10514
Barcelona,Spain,ES,2021,41.3851,2.1734,18.07471884415006,4.497212269510514,232.74017333984375,10661
Paris,France,FR,2021,48.8566,2.3522,31.24524951338543,27.07436319337423,285.2581787109375,12147
Lyon,France,FR,2021,45.764,4.8357,8.823038504121033,3.23619525539966,112.53181457519533,11475
Berlin,Germany,DE,2021,52.52,13.405,8.812265715988254,4.479330642348644,128.4848175048828,13148
Hamburg,Germany,DE,2021,53.5511,9.9937,6.769890179852461,2.4433747270580217,204.21334838867188,13453
Munich,Germany,DE,2021,48.1351,11.582,4.940556449164186,1.427094745333557,223.8885803222656,11985
Rome,Italy,IT,2021,41.9028,12.4964,15.725046836796269,8.479594537628085,157.3225555419922,10755
Milan,Italy,IT,2021,45.4642,9.19,20.12362404886682,15.502765103759772,152.12315368652344,11411
Naples,Italy,IT,2021,40.8518,14.2681,15.849192169445494,7.5213993739547265,152.617919921875,10571
Amsterdam,Netherlands,NL,2021,52.3676,4.9041,10.44810881500416,5.704663919015009,577.7021484375,13101
Rotterdam,Netherlands,NL,2021,51.9244,4.4777,53.89931859010131,15.117275857173516,13797.1142578125,12962
Brussels,Belgium,BE,2021,50.8503,4.3517,11.816199778078245,5.464230094024188,207.5700225830078,12665
Vienna,Austria,AT,2021,48.2082,16.3738,6.898903455501936,2.451308181006813,147.69662475585938,12011
Prague,Czech Republic,CZ,2021,50.0755,14.4378,8.251647707945342,3.464947221256933,159.4019317626953,12460
Warsaw,Poland,PL,2021,52.2297,21.0122,15.122056014502148,7.47904203478328,180.32034301757812,13043
Budapest,Hungary,HU,2021,47.4979,19.0402,9.438311750183292,3.4707741578883096,186.4484100341797,11847
Copenhagen,Denmark,DK,2021,55.6761,12.5683,5.088564248740579,0.3248761057266711,280.20880126953125,14179
Stockholm,Sweden,SE,2021,59.3293,18.0686,19.8749692488754,6.934556675797591,509.1029968261719,15670
